k,description_short,cluster_kmeans,cluster_agg,log_world_import,median_world_demand_growth,median_global_demand_log,log_n_markets,mean_market_penetration,opportunity_rate,world_import_slope
010594,"Poultry: live, fowls of the species Gallus domesticus, weigh",0,0,21.59123121132971,0.009437008816694514,14.092069732652945,5.429345628954441,0.0,0.2026431718061674,-0.007764702238903058
010599,"Poultry: live, ducks, geese, turkeys and guinea fowls, weigh",0,0,20.096046927220037,0.001042640848651688,12.57109378245599,5.429345628954441,0.0,0.2026431718061674,-0.014071211149228227
010611,"Mammals: live, primates",0,0,19.278982407328023,0.04738313961611984,11.820971415738915,5.429345628954441,0.0,0.2026431718061674,0.07852837735569389
010612,"Mammals: live, whales, dolphins and porpoises (mammals of th",1,1,16.895491752445515,0.0056396307832699,9.338233730430566,5.429345628954441,0.0,1.0,0.047864200142855515
010613,"Mammals: live, camels and other camelids (Camelidae)",0,0,20.19615779068033,-0.005801552118665121,12.709301066301357,5.429345628954441,0.0,0.30231277533039647,-0.015847581343410074
010614,"Mammals: live, rabbits and hares",0,0,18.08989212244117,0.01191251161449458,10.5527167892381,5.429345628954441,0.0,0.2026431718061674,-0.04558236176299614
010619,"Mammals: live, other than primates, whales, dolphins, porpoi",0,0,19.980461402718365,0.0021186063506012376,12.455588428291927,5.429345628954441,8.528311112595676e-06,0.19823788546255505,-0.007508983665421145
010620,Reptiles: live (including snakes and turtles),0,0,18.329382629378053,0.018489492081602,10.814451759264408,5.429345628954441,0.0,0.2026431718061674,0.03745949542946019
010631,"Birds: live, birds of prey",0,0,16.984435489337322,0.0849472011272765,9.397213162546535,5.429345628954441,1.8941423249254263e-06,0.20209251101321585,0.13798111788858278
010632,"Birds: live, Psittaciformes",0,0,17.609649717177323,-0.031777523731252755,10.134047671765483,5.429345628954441,0.0,0.2026431718061674,-0.047882468231420686
010633,"Birds: live, ostriches: emus (Dromaius novaehollandiae)",1,1,14.656686394230473,-0.0054000625446747885,6.99524510828087,5.429345628954441,0.0,1.0,0.05086960170681128
010639,"Birds: live, other than birds of prey, Psittaciformes, ostri",0,0,18.46559527637306,0.024282276834424854,11.009090563059948,5.429345628954441,0.0,0.2026431718061674,0.03519826601045234
010641,"Insects: live, bees",0,0,18.63039035192883,0.054523467396612846,11.149115994994286,5.429345628954441,0.0,0.2026431718061674,0.07862085621844103
010649,"Insects: live, other than bees",0,0,19.08299547429357,0.10729354844782257,11.41039808129417,5.429345628954441,0.0,0.2026431718061674,0.15555811137226863
010690,"Animals: live, n.e.c. in chapter 01, other than mammals, rep",0,0,20.09150891416205,0.005183489291430088,12.572089184331483,5.429345628954441,9.10724485134801e-05,0.20154185022026433,-0.0036336917274044644
020110,"Meat: of bovine animals, carcasses and half-carcasses, fresh",0,0,22.134331976906356,-0.04561710950164638,14.593782361267179,5.429345628954441,0.0,0.2026431718061674,-0.03599438908689635
020120,"Meat: of bovine animals, cuts with bone in (excluding carcas",0,0,22.860771982841623,-0.004596781828898777,15.361536707432329,5.429345628954441,0.0,0.2026431718061674,-0.009951615686921827
020130,"Meat: of bovine animals, boneless cuts, fresh or chilled",0,0,24.040505988789498,0.03460950494867565,16.525214397792666,5.429345628954441,5.683967858070866e-08,0.20209251101321585,0.037964645516620564
020210,"Meat: of bovine animals, carcasses and half-carcasses, froze",0,0,19.6787358457863,-0.010003518743641526,12.126250069159362,5.429345628954441,0.0,0.2026431718061674,-0.045775620714123576
020220,"Meat: of bovine animals, cuts with bone in (excluding carcas",0,0,21.8883226443597,0.12692125156394474,14.399618176271364,5.429345628954441,0.0001920574320547203,0.2026431718061674,0.10392906734459974
020230,"Meat: of bovine animals, boneless cuts, frozen",0,0,24.324564341446223,0.07340859944779965,16.801412758355546,5.429345628954441,6.378538837090045e-06,0.20209251101321585,0.05057667358853147
020311,"Meat: of swine, carcasses and half-carcasses, fresh or chill",0,0,22.260446768812837,0.014567967365096912,14.741681586884852,5.429345628954441,0.0,0.2026431718061674,-0.031421634737383276
020312,"Meat: of swine, hams, shoulders and cuts thereof, with bone ",0,0,22.74797637610189,0.059893019386326296,15.253957686149263,5.429345628954441,0.0,0.2026431718061674,-0.008574485032994199
020319,"Meat: of swine, n.e.c. in item no. 0203.1, fresh or chilled",0,0,23.55501383690577,0.015799889433118497,16.06691007043522,5.429345628954441,0.0,0.2026431718061674,0.0002874732458175182
020321,"Meat: of swine, carcasses and half-carcasses, frozen",0,0,20.169378008113668,-0.07455520771385471,12.452926384115615,5.429345628954441,0.0,0.2026431718061674,-0.014455407815261487
020322,"Meat: of swine, hams, shoulders and cuts thereof, with bone ",0,0,21.457135029024,0.0009515118088972985,13.872270584587064,5.429345628954441,0.0,0.2026431718061674,0.06459189854662553
020329,"Meat: of swine, n.e.c. in item no. 0203.2, frozen",0,0,23.82597476378007,0.015698209280388675,16.306777072904083,5.429345628954441,9.321765250616262e-07,0.20154185022026433,0.01476259772358292
020410,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or ",0,0,21.231459271219126,0.003885596136699254,13.712959299426032,5.429345628954441,0.0,0.2026431718061674,0.022240968783673935
020421,"Meat: of sheep, carcasses and half-carcasses (excluding carc",0,0,20.498992860924663,-0.002998232865352113,12.997041392831479,5.429345628954441,0.0,0.2026431718061674,0.0035527583159312755
020422,"Meat: of sheep (including lamb), cuts with bone in (excludin",0,0,21.431430356419433,0.03127204770954728,13.913827409854832,5.429345628954441,0.0,0.2026431718061674,0.019694861363964034
020423,"Meat: of sheep (including lamb), boneless cuts, fresh or chi",0,0,20.651137501926822,0.026849561122276877,13.147563347389662,5.429345628954441,0.0,0.2026431718061674,0.03809505332360562
020430,"Meat: of sheep, lamb carcasses and half-carcasses, frozen",0,0,19.311208710467483,0.052136146867617916,11.778693622808513,5.429345628954441,0.0,0.2026431718061674,-0.058849195501265474
020441,"Meat: of sheep, carcasses and half-carcasses (excluding carc",0,0,19.815432128898273,0.0677502639720462,12.238273243499693,5.429345628954441,0.0,0.2026431718061674,0.07935256244479132
